,Internet users (per 100 people),"Enrolment in secondary education, both sexes (number)","Enrolment in tertiary education, all programmes, both sexes (number)"
ABW,,2011,2011
AFG,,1995,1990
AGO,,1992,1998
ALB,,1997,1997
AND,,1983,2008
ARB,,2013,2014
ARE,2011,1998,1993
ARG,2011,1997,1994
ARM,2013,1997,1997
ASM,,1992,1989
ATG,2011,1992,2010
AUS,2009,1998,1998
AUT,2014,1997,1997
AZE,2011,1997,1997
BDI,,1993,1983
BEL,2014,1996,1977
BEN,2011,1987,1997
BFA,,1994,1997
BGD,2013,1990,1990
BGR,2014,1997,1997
BHR,2012,1998,1996
BHS,2002,1997,1995
BIH,,2011,2011
BLR,2012,1997,1997
BLZ,2010,1995,1975
BMU,2008,1980,1981
BOL,2013,1975,1996
BRA,2011,1998,1996
BRB,,1990,1993
BRN,2008,1994,1982
BTN,2010,1985,1983
BWA,,1995,1996
CAF,,1992,1992
CAN,2012,1998,1998
CHE,2014,1998,1998
CHL,2011,1993,1997
CHN,2013,1998,2011
CIV,,2002,2007
CMR,,2011,2011
COD,2000,2011,2009
COG,2011,2003,2011
COL,2003,2011,2011
COM,,2005,2011
CPV,,2011,2011
CRI,2012,2011,2011
CUB,2010,2011,2011
CYM,2005,2011,2008
CYP,2011,2010,2010
CZE,2011,2010,2010
DEU,2011,2010,1997
DJI,,2012,2011
DMA,,2011,1993
DNK,2011,2010,2010
DOM,2013,2011,2004
DZA,,2009,2011
EAP,,2005,1983
EAS,,2005,1983
ECA,,1997,1997
ECS,,1985,1970
ECU,2006,1998,1977
EGY,2014,2004,1991
EMU,,1970,1984
ERI,,1997,1998
ESP,2014,1998,1998
EST,2014,1998,1998
ETH,,1996,1998
EUU,,1970,1970
FIN,2009,1997,1997
FJI,,1992,2005
FRA,2011,1997,1997
FRO,,1971,
FSM,,1977,2000
GAB,,2002,1989
GBR,2002,1997,1997
GEO,2014,1997,1997
GHA,2012,2005,1994
GIB,,1985,
GIN,2009,2005,1998
GMB,,2010,1995
GNB,,1989,1989
GNQ,,2002,1991
GRC,2002,1997,1997
GRD,,1993,1984
GTM,,1997,1995
GUM,,1989,1987
GUY,,1987,1997
HIC,,2015,1997
HKG,2004,1996,1994
HND,2008,1993,2004
HPC,,2014,2014
HRV,2011,1998,1998
HTI,,1986,1986
HUN,2011,1997,1997
IDN,2014,1997,2005
IND,2007,1997,1997
IRL,2002,1998,1998
IRN,2013,2011,2011
IRQ,,2007,2005
ISL,2014,2010,2010
ISR,2013,2010,2010
ITA,2014,2010,2010
JAM,2013,1999,2010
JOR,2013,2010,2011
JPN,2013,2010,2010
KAZ,2010,2012,2012
KEN,,2005,2005
KGZ,,2007,2011
KHM,2013,2008,2011
KIR,,2008,
KNA,,2005,2008
KOR,2014,2010,2010
KWT,,2011,2004
LAC,,2014,2014
LAO,,2011,2011
LBN,2005,1999,2011
LBR,,2011,2000
LBY,,2003,2003
LCA,2010,2011,2011
LCN,,2014,2014
LDC,,2013,2014
LIC,,1995,2010
LIE,2011,2011,2011
LKA,,2010,2010
LMC,,2013,2014
LMY,,2013,2014
LSO,,2010,2006
LTU,2014,2011,2011
LUX,2014,2010,2010
LVA,2014,2011,2011
MAC,2007,2011,2011
MAR,2010,2012,2009
MCO,,2011,
MDA,2008,2011,2011
MDG,,2008,2011
MDV,2010,2003,2008
MEA,,2013,2000
MEX,2010,2011,2010
MHL,,2009,2003
MIC,,2013,2014
MKD,2014,2010,2010
MLI,,2011,1973
MLT,2014,2010,2010
MMR,,2010,2011
MNA,,2014,2000
MNE,2013,2012,2010
MNG,2012,2011,2011
MOZ,,2011,2011
MRT,,2011,2011
MUS,2012,2011,2008
MWI,,2002,2006
MYS,2013,2010,2010
NAC,,1997,1997
NAM,,2007,2008
NCL,,1997,1985
NER,,2009,2003
NGA,,2010,2003
NIC,,1999,2003
NLD,2004,2010,2010
NOR,2011,2010,2010
NPL,2001,2012,2011
NZL,2008,2010,2010
OED,,1970,1970
OMN,2002,2011,2011
PAK,,2011,2011
PAN,2011,2011,2010
PER,2014,2011,2010
PHL,,2009,2009
PLW,,2007,2002
PNG,2010,1995,1999
POL,2012,2010,2010
PRI,2012,2011,2011
PRK,2007,,
PRT,2002,2010,2010
PRY,2014,2010,2010
PSE,2011,2008,2011
PYF,,1992,1992
QAT,2011,2011,2006
ROU,2012,2010,2010
RUS,2014,2009,2009
RWA,2009,2011,2011
SAS,,2014,2014
SAU,2014,2009,2011
SDN,2012,2009,1999
SEN,2010,2006,2009
SGP,2014,2009,2012
SLB,,2010,
SLE,,2001,2002
SLV,2010,2011,2011
SMR,,2011,2011
SOM,,2007,1987
SRB,2007,2011,2011
SSA,,2014,2014
SSF,,2014,2014
STP,,2012,2010
SUR,,2011,2002
SVK,2014,2010,2010
SVN,2014,2010,2010
SWE,2014,2010,2010
SWZ,2011,2011,2011
SYC,2001,2011,2011
SYR,2011,1997,1995
TCA,,1994,2010
TCD,,2005,2010
TGO,,1997,2006
THA,2013,2002,2003
TJK,,1995,1995
TLS,,2011,2009
TON,,1993,1985
TTO,2011,1999,2004
TUN,,2000,1998
TUR,2006,1997,1997
TUV,,1990,
TZA,,1997,2005
UGA,,2006,1996
UKR,2011,1994,1996
UMC,,2005,1983
URY,2014,1996,1996
USA,2008,1996,1996
UZB,,1995,1992
VCT,2003,2000,1990
VEN,2011,1993,2003
VIR,,1993,1993
VNM,,1990,1997
VUT,,1991,2004
WLD,,2014,2014
WSM,,1996,2001
YEM,,2008,2000
ZAF,2011,2008,1994
ZMB,2011,1994,2000
ZWE,,1998,1992
